name,roll_number,email
John Doe,CS001,john.doe@college.edu
Jane Smith,CS002,jane.smith@college.edu
Alex Johnson,CS003,alex.johnson@college.edu
Emily Brown,CS004,emily.brown@college.edu
Michael Davis,CS005,michael.davis@college.edu
Sarah Wilson,CS006,sarah.wilson@college.edu
David Lee,CS007,david.lee@college.edu
Lisa Garcia,CS008,lisa.garcia@college.edu
Robert Taylor,CS009,robert.taylor@college.edu
Jessica Martinez,CS010,jessica.martinez@college.edu
Christopher Anderson,CS011,christopher.anderson@college.edu
Amanda Thomas,CS012,amanda.thomas@college.edu
Matthew Jackson,CS013,matthew.jackson@college.edu
Ashley White,CS014,ashley.white@college.edu
Joshua Harris,CS015,joshua.harris@college.edu
Megan Martin,CS016,megan.martin@college.edu
Andrew Thompson,CS017,andrew.thompson@college.edu
Nicole Garcia,CS018,nicole.garcia@college.edu
Daniel Martinez,CS019,daniel.martinez@college.edu
Stephanie Robinson,CS020,stephanie.robinson@college.edu
Ryan Clark,CS021,ryan.clark@college.edu
Rachel Rodriguez,CS022,rachel.rodriguez@college.edu
Justin Lewis,CS023,justin.lewis@college.edu
Lauren Lee,CS024,lauren.lee@college.edu
Brandon Walker,CS025,brandon.walker@college.edu
Kimberly Hall,CS026,kimberly.hall@college.edu
Tyler Allen,CS027,tyler.allen@college.edu
Brittany Young,CS028,brittany.young@college.edu
Kevin Hernandez,CS029,kevin.hernandez@college.edu
Courtney King,CS030,courtney.king@college.edu
Zachary Wright,CS031,zachary.wright@college.edu
Crystal Lopez,CS032,crystal.lopez@college.edu
Nathan Hill,CS033,nathan.hill@college.edu
Samantha Scott,CS034,samantha.scott@college.edu
Aaron Green,CS035,aaron.green@college.edu
Danielle Adams,CS036,danielle.adams@college.edu
Jeremy Baker,CS037,jeremy.baker@college.edu
Alexis Gonzalez,CS038,alexis.gonzalez@college.edu
Jose Nelson,CS039,jose.nelson@college.edu
Kayla Carter,CS040,kayla.carter@college.edu
Sean Mitchell,CS041,sean.mitchell@college.edu
Vanessa Perez,CS042,vanessa.perez@college.edu
Cody Roberts,CS043,cody.roberts@college.edu
Jasmine Turner,CS044,jasmine.turner@college.edu
Jordan Phillips,CS045,jordan.phillips@college.edu
Sierra Campbell,CS046,sierra.campbell@college.edu
Blake Parker,CS047,blake.parker@college.edu
Destiny Evans,CS048,destiny.evans@college.edu
Mason Edwards,CS049,mason.edwards@college.edu
Brianna Collins,CS050,brianna.collins@college.edu
Connor Stewart,CS051,connor.stewart@college.edu
Paige Sanchez,CS052,paige.sanchez@college.edu
Ian Morris,CS053,ian.morris@college.edu
Jenna Rogers,CS054,jenna.rogers@college.edu
Caleb Reed,CS055,caleb.reed@college.edu
Mariah Cook,CS056,mariah.cook@college.edu
Lucas Morgan,CS057,lucas.morgan@college.edu
Shelby Bell,CS058,shelby.bell@college.edu
Garrett Murphy,CS059,garrett.murphy@college.edu
Melody Bailey,CS060,melody.bailey@college.edu
Trevor Rivera,CS061,trevor.rivera@college.edu
Diamond Cooper,CS062,diamond.cooper@college.edu
Dalton Richardson,CS063,dalton.richardson@college.edu
Autumn Cox,CS064,autumn.cox@college.edu
